id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
1820,4,1,12,34,63,2015/8/8 15:44,1,1969,1,0,3,12,400000,4,35,172,150,3,3,3,5,5,4,4,4,8,1,2,23,1,2,500000,3,5,3,1,3,2,1,4,2
1821,4,2,22,66,106,2015/7/12 10:57,2,1946,1,1,1,3,10000,1,300,153,70,3,3,4,1,3,3,2,2,5,4,,,,,100000,4,3,3,2,3,1,1,3,2
1822,4,1,12,34,64,2015/8/9 9:59,1,1965,1,0,3,12,1000000,1,200,165,135,5,5,5,2,3,4,2,3,6,2,,,,,1000000,3,2,1,1,3,2,2,3,2
1823,4,1,12,32,59,2015/8/6 19:39,1,1981,1,1,1,9,0,1,77,170,150,4,4,4,2,3,4,3,3,2,5,,,,,70000,3,3,1,2,1,2,2,3,-8
1824,4,2,5,9,25,2015/8/4 11:48,1,1987,1,1,1,4,3000,1,80,170,110,5,5,5,1,2,2,2,4,1,2,,,,,12000,3,2,1,2,1,3,2,4,3
1825,4,1,13,37,68,2015/9/7 15:54,1,1966,1,1,1,3,24000,1,600,160,130,2,4,4,2,3,4,1,2,3,1,3,30,1,3,-2,11,2,2,2,3,2,1,4,2
1826,5,2,16,47,79,2015/7/26 9:58,2,1951,1,-8,1,3,20000,1,190,160,100,5,5,5,1,4,4,1,5,4,4,,,,,20000,2,3,1,2,3,2,1,3,2
1827,4,2,28,81,121,2015/8/1 10:28,1,1942,1,1,1,7,5000,1,225,171,140,3,3,4,1,3,2,1,4,2,3,,,,,-2,1,3,1,2,7,2,2,4,2
1828,3,1,4,7,14,2015/10/1 16:55,2,1952,3,1,1,4,30000,1,30,162,130,3,2,3,4,4,4,1,3,4,5,,,,,30000,1,3,2,2,7,2,3,4,4
1829,4,1,1,1,2,2015/9/18 9:41,1,1939,1,1,1,4,36000,1,104,169,130,3,3,4,2,2,4,2,3,4,5,,,,,120000,3,3,2,2,3,2,2,3,3
1830,5,1,12,32,58,2015/8/26 17:31,2,1944,1,1,3,3,36000,1,78,158,120,3,5,5,2,4,4,4,3,10,5,,,,,30000,2,3,1,2,3,2,1,4,2
1831,4,2,16,46,78,2015/7/29 15:33,1,1963,1,1,1,3,8000,1,200,166,106,4,4,4,1,1,2,1,4,5,3,,,,,20000,6,3,1,2,3,2,2,3,2
1832,4,2,10,24,46,2015/7/26 11:21,2,1936,1,1,1,1,840,1,110,160,120,2,1,2,1,1,4,1,4,4,4,,,,,840,1,1,1,2,7,2,2,4,2
1833,4,2,18,55,89,2015/7/24 14:44,2,1984,1,1,3,7,0,1,400,170,150,5,5,5,1,2,4,1,3,5,5,,,,,-2,6,3,1,2,3,2,1,3,-8
1834,4,2,29,83,126,2015/7/24 13:37,2,1958,1,1,1,1,4000,1,90,156,95,4,4,4,1,2,1,1,4,4,6,,,,,10000,1,3,1,2,3,2,2,4,2
1835,4,2,9,23,45,2015/7/4 9:15,1,1991,1,1,1,4,40000,1,258,170,126,4,5,5,1,2,4,1,2,6,1,2,8,1,4,120000,4,3,3,2,1,2,1,3,2
1836,4,2,17,50,83,2015/7/27 18:48,1,1950,1,1,1,3,3000,1,150,172,140,5,4,5,1,4,4,1,2,3,4,,,,,3000,1,3,2,2,1,2,2,4,2
1837,4,1,4,7,14,2015/10/16 16:30,1,1940,1,1,1,7,48000,4,56.3,158,108,4,5,5,5,3,3,4,2,3,5,,,,,96000,2,2,1,2,3,3,1,4,2
1838,4,2,16,44,75,2015/7/25 9:47,2,1992,1,1,1,11,0,2,130,160,110,5,4,4,1,3,3,5,4,5,6,,,,,20000,5,3,1,2,1,2,1,4,-8
1839,2,2,23,68,108,2015/7/9 7:25,2,1946,1,1,1,3,6500,1,25,156,90,2,3,3,1,2,2,1,3,5,3,,,,,30000,2,2,1,2,3,2,3,1,1
1840,4,1,1,1,4,2015/8/31 14:53,1,1984,1,1,1,10,48000,1,43,183,150,4,4,4,2,3,3,3,4,5,1,6,9,1,2,48000,1,3,1,2,1,2,2,3,2
1841,4,1,21,61,97,2015/7/19 11:28,2,1993,1,1,1,4,-2,1,200,155,105,5,5,5,2,1,1,1,4,3,1,7,5,1,4,-2,6,3,1,2,3,3,1,4,2
1842,4,2,17,50,83,2015/7/27 19:23,2,1986,1,1,1,4,0,1,234,170,130,5,5,5,1,2,4,2,1,5,3,,,,,30000,3,3,1,2,3,2,2,3,-8
1843,5,1,15,40,71,2015/7/10 18:36,1,1960,1,1,1,4,30000,1,61,174,135,5,5,5,4,1,4,1,2,6,1,3,30,1,3,50000,3,2,1,2,3,3,2,4,3
1844,4,2,9,22,44,2015/7/5 11:19,1,1960,1,1,1,3,20000,1,100,172,128,5,5,4,1,3,3,2,3,7,1,5,10,2,3,30000,4,4,2,2,3,2,1,3,3
1845,3,1,17,50,83,2015/7/25 8:46,1,1976,1,1,1,10,20000,1,220,186,205,2,4,4,2,3,3,3,2,6,1,2,1,1,4,20000,3,2,1,2,6,3,3,4,3
1846,5,1,21,64,101,2015/7/16 10:33,1,1937,1,0,1,7,30000,1,85,172,130,4,3,4,4,2,3,1,4,1,5,,,,,30000,2,4,1,2,3,2,1,4,-8
1847,4,1,1,1,4,2015/9/1 9:33,1,1990,1,1,1,9,67200,2,43.8,182,160,5,5,5,2,4,3,3,3,5,1,3,7,1,2,67200,1,3,2,2,1,2,2,3,2
1848,4,1,29,82,125,2015/7/20 8:38,1,1949,1,1,1,1,20000,1,130,168,125,4,4,4,1,2,5,1,2,-8,4,,,,,60000,3,3,1,2,3,3,2,3,2
1849,3,1,16,45,76,2015/7/26 13:12,2,1969,1,1,1,3,0,1,90,150,92,3,4,4,1,4,4,1,4,5,6,,,,,50000,3,3,1,2,3,2,2,4,2
1850,4,1,1,1,4,2015/9/7 9:25,2,1957,1,1,1,6,39600,1,91,160,120,3,4,4,5,4,4,4,4,6,5,,,,,139200,3,3,1,2,3,2,2,4,2
1851,4,1,1,1,3,2015/8/24 9:23,1,1939,1,1,1,4,41700,1,15,178,138,4,5,3,2,3,4,2,4,5,5,,,,,101700,2,3,1,2,3,2,2,3,2
1852,4,1,21,63,99,2015/7/16 17:58,2,1997,1,1,1,6,0,2,80,160,90,5,4,4,5,4,3,5,3,1,1,3,-1,2,3,24000,3,2,1,2,1,3,2,4,2
1853,4,1,10,27,49,2015/7/25 18:03,2,1977,1,1,1,8,25000,1,60,155,110,4,5,4,2,3,4,1,3,1,1,3,20,1,3,50000,3,3,1,2,3,2,2,5,4
1854,4,1,12,32,56,2015/7/29 13:22,2,1922,1,1,1,1,4000,1,75,158,80,3,3,4,4,2,2,1,2,3,4,,,,,20000,2,2,0,2,7,2,2,3,-8
1855,4,2,18,54,88,2015/7/12 12:58,1,1971,1,1,1,4,0,1,70,168,114,5,5,4,1,2,4,1,3,5,2,,,,,0,4,1,1,2,3,3,2,3,4
1856,4,2,19,57,92,2015/7/19 11:03,1,1995,1,1,1,11,-3,1,120,170,110,4,4,4,1,3,3,3,2,5,1,3,3,1,2,-2,5,3,1,1,1,2,1,4,2
1857,2,1,4,7,18,2015/10/3 16:08,1,1962,1,1,1,3,0,1,160,170,140,1,1,1,1,2,5,1,4,2,4,,,,,50000,4,1,1,2,3,3,1,4,3
1858,5,1,31,87,131,2015/8/20 9:08,1,1981,1,1,1,4,40000,1,60,180,260,2,5,2,2,2,2,1,3,2,1,2,16,1,1,200000,3,2,2,1,3,2,1,2,2
1859,4,1,23,69,109,2015/9/25 9:39,2,1970,1,1,1,4,5000,1,40,160,120,2,2,2,1,3,3,1,4,5,1,2,20,1,4,10000,4,2,1,1,3,3,3,4,3
1860,3,1,27,80,120,2015/7/30 17:55,2,1973,1,1,1,4,20000,1,63,160,145,3,5,3,2,1,3,1,3,2,1,3,25,1,3,20000,3,2,1,2,6,3,2,4,2
1861,2,2,8,19,41,2015/8/2 15:28,1,1994,4,0,8,6,-1,2,147,178,125,5,5,3,1,2,3,5,2,5,6,,,,,100000,4,3,1,2,1,2,1,3,-8
1862,5,1,24,72,112,2015/7/29 16:06,2,1965,1,1,1,4,30000,1,200,160,120,5,4,5,2,1,4,4,5,4,1,3,10,1,3,100000,2,3,1,2,6,2,1,3,2
1863,4,2,2,5,12,2015/8/8 10:33,2,1946,1,1,1,1,0,1,100,145,80,2,2,2,1,2,2,1,4,3,5,,,,,20000,5,1,1,2,3,3,1,4,3
1864,5,1,31,86,129,2015/8/20 16:24,2,1951,1,1,1,4,660,1,46,153,110,5,5,3,2,2,2,1,5,5,5,,,,,40000,2,3,1,2,3,2,1,4,2
1865,3,1,22,66,105,2015/7/11 10:35,2,1978,1,1,1,6,50000,1,100,162,110,4,5,5,1,3,2,1,3,5,1,2,23,1,4,40000,6,2,1,2,3,2,2,3,3
1866,4,2,29,83,126,2015/7/21 10:11,2,1940,1,1,1,1,1000,1,20,160,140,3,2,4,1,4,1,1,4,3,4,,,,,60000,2,2,1,2,7,2,1,5,1
1867,4,2,13,36,66,2015/9/22 15:22,1,1989,8,1,1,4,7000,1,230,165,130,3,5,3,1,2,2,2,2,5,3,,,,,8000,3,2,1,2,1,3,1,3,3
1868,5,2,23,68,108,2015/10/2 17:10,1,1956,1,1,1,3,3000,1,140,170,120,5,5,5,1,2,2,1,4,7,3,,,,,-2,1,3,1,1,1,2,1,5,1
1869,4,2,22,67,107,2015/7/5 10:50,1,1948,1,1,1,3,2000,1,150,158,102,4,4,5,1,5,5,3,4,4,2,,,,,18000,3,2,1,2,3,3,1,5,3
1870,3,1,1,1,4,2015/9/26 8:42,2,1976,1,1,1,12,80000,1,79,160,96,4,4,4,2,2,2,2,3,7,1,3,15,1,3,80000,1,3,1,2,6,2,2,3,2
1871,3,2,6,13,29,2015/8/6 10:06,2,1953,1,1,1,3,10000,1,150,155,125,2,2,3,1,3,3,1,3,4,3,,,,,20000,3,2,1,2,3,2,1,3,3
1872,4,2,21,61,97,2015/7/16 14:24,1,1963,1,1,1,4,25000,2,190,171,138,4,3,5,1,2,3,1,3,4,1,5,35,1,3,35000,2,3,1,2,3,3,2,3,1
1873,1,1,1,1,3,2015/8/18 14:12,2,1933,1,0,8,3,40000,1,40,150,125,2,-8,2,2,1,4,1,-8,2,5,,,,,40000,2,2,1,2,7,3,-8,3,-8
1874,4,2,17,50,83,2015/7/26 15:25,1,1967,1,1,1,4,8000,1,290,158,119,4,4,4,1,4,3,3,1,4,1,3,30,1,3,10000,3,4,1,2,3,2,1,4,2
1875,4,2,16,45,76,2015/7/24 13:39,1,1996,1,1,1,4,-2,1,100,171,130,3,5,5,1,3,3,3,3,4,5,,,,,20000,3,3,1,1,1,3,1,3,3
1876,4,1,1,1,3,2015/9/1 15:10,1,1949,1,1,1,4,33000,1,43,178,140,3,5,5,2,1,5,1,2,5,5,,,,,100000,3,3,1,2,3,2,1,3,-8
1877,4,1,1,1,3,2015/9/16 13:56,1,1978,1,1,1,9,23000,1,87,178,150,5,5,4,2,3,3,2,2,2,1,3,7,1,3,50000,5,2,1,2,3,3,3,4,3
1878,4,1,6,13,29,2015/8/5 16:23,1,1969,1,1,1,10,100000,1,140,170,140,3,3,3,1,3,3,2,4,5,1,3,20,1,3,150000,3,3,1,2,3,2,1,4,2
1879,3,1,6,15,31,2015/8/11 8:36,1,1975,1,1,1,4,110000,1,55,173,141,3,4,4,1,2,3,2,2,5,1,3,-2,1,2,125000,3,3,0,2,3,2,2,4,2
1880,5,1,31,86,129,2015/8/17 19:07,2,1983,1,1,1,4,-1,1,92,165,148,4,5,5,1,3,4,1,2,4,5,,,,,50000,6,3,1,1,3,2,1,3,-8
1881,4,1,12,32,58,2015/8/29 10:08,2,1970,1,0,5,5,60000,1,50,157,108,4,4,4,5,4,4,4,3,7,5,,,,,60000,1,3,1,2,6,2,1,2,2
1882,4,2,6,14,30,2015/8/7 10:18,2,1953,1,1,1,3,1000,1,100,155,130,2,3,3,1,2,3,1,4,5,3,,,,,20000,1,3,1,2,7,3,1,-8,2
1883,4,2,5,11,27,2015/7/27 11:38,2,1971,1,1,1,4,13000,1,140,158,116,4,3,4,1,4,3,1,3,6,5,,,,,35000,2,3,1,2,3,2,2,3,2
1884,4,2,9,22,44,2015/7/6 15:16,1,1944,1,1,1,4,20000,4,200,165,140,4,2,3,2,2,3,1,5,3,5,,,,,20000,3,3,1,2,3,2,2,3,2
1885,3,1,22,66,105,2015/7/8 9:20,1,1967,1,1,1,10,20000,4,100,170,150,4,4,4,1,4,4,3,2,5,1,3,27,1,4,50000,4,3,1,2,3,2,1,4,3
1886,5,1,10,27,50,2015/7/25 19:40,2,1972,1,1,1,6,40000,1,400,160,100,4,5,5,1,4,2,2,1,6,3,,,,,50000,8,4,1,2,3,1,1,4,2
1887,4,2,26,74,114,2015/8/6 14:31,2,1976,1,1,1,3,10000,1,110,156,100,4,4,4,1,3,2,2,2,5,3,,,,,30000,3,3,1,1,3,2,1,4,2
1888,4,1,9,23,45,2015/7/5 11:36,1,1977,1,1,1,12,100000,1,80,164,120,4,5,5,2,2,4,4,4,6,1,1,15,1,1,200000,1,4,0,1,3,2,1,3,2
1889,5,1,19,59,95,2015/7/15 18:42,1,1990,1,1,1,12,25000,1,53,180,180,5,5,-8,4,4,4,3,2,5,1,3,1,1,3,200000,5,3,1,1,1,2,1,4,3
1890,4,2,6,12,28,2015/8/1 11:34,2,1976,1,1,1,4,10000,1,120,155,110,4,3,3,1,4,3,2,4,5,5,,,,,40000,4,3,1,2,3,2,2,4,3
1891,5,1,15,41,72,2015/7/18 15:46,2,1972,1,1,1,6,45000,1,130,165,130,5,4,4,2,3,3,2,4,4,1,2,20,-8,1,95000,4,3,2,2,3,2,2,3,2
1892,5,1,16,45,76,2015/7/25 15:23,1,1941,1,1,1,1,0,1,60,170,110,4,4,4,2,4,3,1,5,4,5,,,,,20000,5,3,1,2,3,2,2,4,2
1893,4,1,4,7,15,2015/10/6 11:41,2,1968,1,1,1,3,-3,1,8,158,118,5,5,5,1,3,3,2,3,4,1,3,15,1,3,-3,2,3,1,2,3,2,2,5,2
1894,3,1,4,7,22,2015/9/6 19:26,1,1969,1,1,1,9,40000,1,137,170,124,3,5,5,4,3,4,3,2,3,1,3,15,1,2,80000,5,3,2,1,3,2,2,4,2
1895,4,2,10,26,48,2015/7/26 20:36,1,1966,1,1,1,4,20000,1,120,170,140,4,4,4,1,4,4,2,4,4,2,,,,,35000,5,3,2,2,3,2,2,5,2
1896,2,2,29,84,127,2015/7/23 9:11,2,1944,1,1,1,3,0,1,50,160,80,1,1,2,1,2,4,1,3,2,3,,,,,2000,2,3,0,2,3,3,1,3,2
1897,4,1,11,30,53,2015/7/21 15:55,1,1988,1,1,1,13,30000,2,85,180,130,5,5,3,1,2,4,3,2,4,1,3,2,1,3,30000,1,3,0,2,1,2,1,3,3
1898,4,1,6,13,29,2015/8/5 11:59,2,1928,1,1,1,1,0,1,30,145,60,3,3,4,1,2,2,1,3,3,4,,,,,30000,3,2,2,2,7,3,3,3,2
1899,4,2,31,89,134,2015/8/20 10:34,1,1968,1,1,1,4,900000,1,162,170,156,5,5,5,1,3,4,2,2,6,3,,,,,900000,2,3,2,1,3,2,1,5,2
1900,4,2,9,20,42,2015/7/5 13:39,2,1967,1,1,1,4,0,1,150,158,85,4,5,5,1,5,4,3,4,8,5,,,,,140000,3,2,2,1,3,2,2,3,2
1901,4,2,10,26,48,2015/7/26 10:19,1,1989,1,1,1,6,20000,1,150,174,120,4,4,4,1,2,3,2,4,2,1,3,2,1,3,30000,3,3,1,2,1,3,3,3,2
1902,2,2,2,4,11,2015/7/30 12:57,1,1975,1,1,1,3,-3,1,100,158,120,4,4,2,1,4,2,1,2,3,5,,,,,-3,1,2,1,2,1,3,2,3,-8
1903,4,2,6,14,30,2015/8/7 13:23,2,1953,1,1,1,3,1000,1,110,155,106,2,3,3,1,2,2,1,4,4,3,,,,,15000,4,3,1,2,3,2,1,4,2
1904,4,2,31,88,133,2015/8/17 13:42,1,1967,1,1,1,6,2000,1,108,175,150,5,5,4,1,4,4,1,2,7,2,,,,,40000,6,2,1,2,3,3,1,3,2
1905,4,2,21,62,98,2015/7/16 15:49,2,1982,8,1,1,4,-2,2,100,164,120,4,4,3,1,4,3,1,2,2,4,,,,,35000,5,2,1,2,3,3,3,4,3
1906,4,2,26,74,114,2015/8/7 15:56,2,1962,1,1,1,1,5000,1,240,156,120,4,4,4,1,3,2,1,2,5,3,,,,,10000,4,3,1,2,3,2,3,4,2
1907,4,1,2,5,12,2015/8/4 19:58,2,1930,1,1,1,4,58000,1,200,158,90,4,3,4,5,2,4,2,3,5,5,,,,,-2,4,4,2,1,3,1,1,3,2
1908,2,1,11,29,52,2015/7/20 11:39,1,1969,1,1,1,4,20000,1,96,165,110,4,5,4,2,2,2,3,2,1,1,3,31,1,3,40000,3,2,1,1,2,3,2,4,4
1909,4,1,19,57,92,2015/7/14 18:30,2,1973,1,1,1,4,-2,1,90,158,110,4,4,4,1,2,2,1,2,-8,3,,,,,-2,2,3,1,2,3,2,1,3,2
1910,4,1,7,18,36,2015/8/6 9:12,2,1982,1,1,1,12,45000,1,30,160,110,4,3,4,1,3,4,5,4,7,1,3,12,1,3,90000,3,2,1,1,3,3,2,3,2
1911,5,2,24,71,111,2015/8/6 20:12,1,1988,1,0,3,4,36000,1,160,173,130,5,5,1,1,3,3,1,4,5,1,3,10,1,3,108000,5,3,1,2,3,2,2,4,2
1912,4,1,19,57,93,2015/7/19 13:47,1,1959,1,1,1,6,3600,1,60,164,120,5,4,3,5,4,4,2,2,2,1,3,20,1,3,3600,1,3,1,2,1,3,2,4,2
1913,4,1,31,87,132,2015/8/21 17:15,2,1967,1,1,1,4,-3,1,136,172,140,4,5,4,2,2,1,1,3,4,1,7,27,1,2,-3,4,3,1,1,4,1,2,5,2
1914,5,1,11,30,53,2015/7/15 17:47,1,1945,1,1,1,3,6960,1,120,158,96,4,5,5,1,1,4,1,4,2,1,-8,1,1,3,6960,2,2,1,2,3,2,2,5,1
1915,5,1,7,18,37,2015/7/30 9:32,2,1928,1,0,3,2,0,1,48,156,140,3,4,3,5,5,5,3,1,4,6,,,,,0,1,3,1,2,7,3,2,5,-8
1916,4,1,21,63,99,2015/7/14 17:42,1,1955,1,1,1,6,25000,4,200,175,110,5,5,4,4,2,4,5,4,5,1,5,39,2,3,120000,4,2,1,2,3,2,1,3,2
1917,4,2,8,19,41,2015/8/2 9:09,2,1979,4,0,9,1,3000,1,161,164,120,4,4,4,1,1,3,4,3,5,3,,,,,40000,7,3,1,2,3,2,1,4,3
1918,3,1,24,70,110,2015/8/9 9:42,2,1970,1,1,1,11,30000,1,50,155,112,4,5,3,4,2,3,5,3,4,1,3,23,1,3,80000,3,3,2,2,3,2,1,3,2
1919,5,1,12,33,62,2015/8/4 17:00,2,1933,1,1,1,3,-1,1,100,165,85,3,3,3,1,2,4,1,3,6,4,,,,,-1,2,3,1,2,3,2,2,-8,-8
1920,4,1,18,54,88,2015/7/13 14:23,2,1977,1,1,1,6,0,1,100,160,120,5,5,4,2,2,2,1,3,4,5,,,,,40000,4,3,1,2,3,2,2,3,2
1921,5,1,19,59,95,2015/7/16 18:46,2,1978,1,1,1,12,50000,1,100,158,98,4,5,3,5,3,3,3,4,4,1,3,15,1,3,150000,4,3,1,1,3,2,2,4,3
1922,4,2,3,6,13,2015/9/25 17:51,1,1952,1,1,1,2,15000,1,120,165,100,4,4,3,1,3,3,1,1,5,3,,,,,30000,2,3,1,2,3,2,1,2,3
1923,4,1,31,87,130,2015/8/15 14:18,1,1953,1,0,9,6,40800,1,108,165,165,2,2,3,1,4,2,2,4,5,5,,,,,30000,2,2,1,2,3,2,1,4,3
1924,4,2,29,84,127,2015/7/25 14:52,2,1966,1,1,1,1,0,1,150,160,120,2,1,2,1,2,4,1,4,5,3,,,,,8000,5,3,1,2,7,3,1,4,2
1925,4,2,22,65,103,2015/7/8 16:52,2,1982,1,1,1,4,2000,1,100,150,120,4,4,3,1,2,2,2,4,6,1,2,4,1,4,4000,2,3,2,2,3,3,2,4,2
1926,4,2,31,86,129,2015/8/19 9:43,1,1980,1,1,1,4,70000,1,100,162,130,4,5,4,1,2,2,1,2,5,2,,,,,75000,3,3,1,2,3,2,2,4,3
1927,4,2,9,22,44,2015/7/5 10:37,2,1972,1,1,1,3,0,1,70,166,118,4,3,3,1,3,4,1,1,1,6,,,,,30000,5,2,1,2,3,3,2,4,2
1928,4,1,4,7,20,2015/10/17 14:24,1,1962,1,1,1,10,50000,1,70,170,138,4,5,3,5,2,3,3,3,5,1,4,25,1,2,-3,3,-8,-3,1,3,2,2,3,3
1929,4,1,10,26,48,2015/7/30 9:21,2,1987,1,1,1,10,-3,1,90,161,118,4,4,4,2,3,3,2,3,7,1,2,-3,1,4,100000,3,3,1,1,3,2,2,3,2
1930,4,1,15,41,72,2015/7/17 9:57,2,1941,1,1,1,4,30000,1,120,158,142,1,1,1,4,1,5,1,3,3,5,,,,,86400,3,3,2,2,3,2,1,1,2
1931,5,2,18,52,86,2015/7/18 16:51,2,1957,1,0,9,3,15000,1,120,163,130,3,4,4,1,5,3,1,3,5,3,,,,,20000,3,3,3,2,3,2,1,4,2
1932,4,2,6,12,28,2015/7/31 17:22,2,1948,1,1,1,3,12000,1,160,150,120,3,3,4,1,2,2,2,4,3,4,,,,,20000,2,1,1,2,3,3,3,3,-8
1933,5,2,10,25,47,2015/7/29 11:23,2,1955,1,1,1,1,3000,1,100,155,88,4,3,4,1,2,4,1,5,5,3,,,,,10000,2,3,1,2,3,2,2,3,2
1934,4,1,21,63,99,2015/7/18 11:18,1,1957,1,1,1,9,35000,4,200,164,160,2,2,2,2,3,4,2,4,6,1,2,33,1,4,70000,2,3,2,2,3,2,2,5,2
1935,5,1,1,1,7,2015/9/14 19:17,2,1994,1,1,1,4,19200,1,58,159,120,4,5,5,2,3,4,2,3,5,1,4,1,1,3,103200,3,4,1,2,1,2,2,4,2
1936,4,1,1,1,2,2015/9/25 15:13,2,1954,1,1,1,7,36000,1,100,160,110,4,5,4,2,4,4,3,4,5,5,,,,,36000,1,3,1,2,7,2,2,4,2
1937,4,1,6,15,31,2015/8/12 16:11,1,1988,1,1,1,4,30000,1,55,168,130,4,4,4,1,2,3,2,4,5,1,3,-3,1,3,60000,5,2,0,2,3,3,2,3,3
1938,4,2,13,36,66,2015/9/22 16:20,2,1951,8,0,4,3,2000,1,104,150,115,2,3,4,1,5,1,1,4,3,4,,,,,-2,3,3,1,2,3,2,2,3,3
1939,1,2,2,4,11,2015/7/31 15:19,1,1970,1,1,1,3,3000,1,80,173,100,2,2,3,1,1,2,1,1,1,5,,,,,6000,1,1,1,2,3,3,3,5,3
1940,5,2,18,52,86,2015/7/18 15:37,1,1954,1,1,1,4,10000,1,120,170,140,3,3,5,1,4,3,1,4,7,2,,,,,150000,3,4,2,2,6,1,1,4,2
1941,4,1,28,81,123,2015/8/1 11:17,1,1957,1,1,1,6,10000,1,60,167,118,3,4,4,1,3,3,3,4,4,1,2,16,1,4,20000,2,2,0,2,3,2,2,3,2
1942,4,1,12,32,60,2015/8/4 15:20,1,1990,1,1,1,4,30000,1,60,170,130,4,4,2,4,3,3,2,4,3,1,3,9,1,3,50000,4,2,1,2,3,3,2,4,2
1943,5,2,18,52,85,2015/7/21 14:56,1,1948,1,1,1,3,6000,1,100,170,130,4,4,4,1,5,3,2,4,5,3,,,,,10000,2,3,1,2,3,2,1,4,2
1944,4,1,19,59,95,2015/7/17 11:03,1,1930,1,-8,1,4,40000,1,46,165,100,3,5,4,5,2,4,3,3,5,5,,,,,100000,1,3,1,2,7,2,2,3,2
1945,3,1,6,13,29,2015/8/5 12:48,1,1981,1,1,1,7,20000,1,150,160,100,3,3,3,1,3,3,3,3,4,1,2,10,1,4,30000,3,3,1,2,3,2,2,3,2
1946,4,1,28,81,121,2015/7/31 17:19,1,1971,1,1,1,4,30000,1,80,170,150,4,2,4,1,4,2,1,4,4,1,1,9,1,4,40000,4,3,1,2,3,2,1,4,2
1947,4,1,18,55,89,2015/7/25 11:12,2,1947,1,1,1,1,26500,1,260,165,130,3,5,5,2,2,3,2,4,5,5,,,,,70000,2,3,1,2,3,2,2,3,2
1948,4,1,1,1,3,2015/8/28 14:18,1,1961,1,1,1,6,37200,2,33,168,156,1,1,3,2,4,4,1,4,5,5,,,,,105600,3,3,1,2,3,3,2,3,3
1949,4,1,4,7,16,2015/10/17 10:54,1,1956,1,1,1,13,210000,4,100,180,160,5,5,4,2,2,3,4,4,6,1,3,39,1,2,300000,2,4,1,1,3,2,2,3,2
1950,3,2,31,87,132,2015/8/16 13:32,1,1955,1,1,1,3,11000,1,120,170,55,4,4,3,1,3,4,-8,2,2,3,,,,,32000,5,2,1,2,3,2,3,3,3
1951,4,1,1,1,3,2015/9/21 8:57,1,1956,1,1,1,6,35000,1,35,175,150,4,4,3,2,5,4,2,2,6,5,,,,,80000,2,3,1,2,3,2,1,4,3
1952,4,1,27,78,118,2015/8/4 19:42,2,1974,8,1,1,13,60000,1,63,152,85,3,2,4,2,3,4,3,4,5,1,3,11,1,3,200000,3,4,1,1,3,2,2,4,2
1953,4,2,29,83,126,2015/7/20 14:46,2,1976,1,1,1,4,15000,1,50,155,100,5,5,5,2,3,3,2,4,5,1,3,7,1,3,30000,3,2,0,2,3,2,1,4,2
1954,3,2,22,67,107,2015/7/6 15:37,1,1985,1,1,3,3,5000,1,60,170,144,5,5,4,1,3,2,1,3,4,3,,,,,20000,4,3,1,2,3,2,1,4,2
1955,5,1,12,34,63,2015/8/13 14:48,1,1962,1,1,1,4,30000,1,80,170,130,4,4,4,2,3,3,3,2,5,5,,,,,500000,1,3,2,2,3,2,1,4,2
1956,4,1,15,39,70,2015/7/12 9:54,2,1976,1,1,1,3,36000,1,130,160,110,3,4,3,1,4,4,3,2,5,1,3,10,1,3,100000,3,3,1,2,3,2,2,3,2
1957,3,1,22,67,107,2015/7/8 9:49,1,1947,1,1,1,7,24000,4,65,159,100,3,4,2,4,2,4,4,2,3,5,,,,,25000,2,2,1,2,3,3,2,3,4
1958,4,1,1,1,3,2015/9/17 13:45,1,1953,1,1,1,7,48000,4,44.2,167,106,4,5,5,2,3,3,2,4,5,2,,,,,144000,3,3,1,2,3,2,2,3,2
1959,4,1,16,46,77,2015/7/25 9:24,1,1979,1,1,1,4,20000,1,280,162,120,5,4,4,5,2,4,2,2,4,1,7,20,1,2,20000,5,3,1,1,3,2,1,3,3
1960,4,2,3,6,13,2015/9/25 18:21,1,1965,1,1,1,6,20000,4,20,170,120,4,1,4,1,2,3,1,2,5,3,,,,,60000,1,4,2,2,3,2,2,3,3
1961,3,2,31,86,129,2015/8/18 19:06,1,1976,1,1,1,3,40000,1,88,176,124,3,4,5,1,1,4,1,3,3,3,,,,,40000,3,2,1,2,3,3,2,2,3
1962,5,1,10,25,47,2015/7/28 9:02,1,1948,1,1,1,7,60000,4,160,165,140,4,4,4,2,2,4,3,4,5,5,,,,,70000,2,3,1,2,3,2,1,4,2
1963,2,1,12,33,62,2015/7/31 9:58,2,1968,1,0,6,1,6000,1,50,158,115,3,2,2,1,3,2,1,1,3,1,5,33,1,3,60000,7,2,1,2,3,2,1,3,2
1964,4,2,5,8,23,2015/8/2 10:02,2,1940,1,1,1,3,6000,1,50,158,130,4,4,5,1,2,4,1,2,2,4,,,,,12000,2,1,0,2,3,3,2,4,-8
1965,3,1,9,20,42,2015/7/11 11:12,1,1991,1,1,1,10,50000,1,50,174,135,5,5,5,1,1,4,2,4,3,1,3,1,1,3,50000,1,3,0,2,1,2,2,3,2
